Log Date, Departure, Arrival, Date, Flight, DepartTime, ArriveTime, Duration, Cost, Nonstop
2017-11-16 08:42:05.770445, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 08:42:06.016688, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 08:42:06.285615, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 08:42:06.576360, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 08:42:06.863884, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 08:42:07.200772, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 08:42:07.531448, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 08:42:07.853494, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 08:42:08.078962, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 08:42:08.344895, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 08:42:08.587025, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 08:42:08.884937, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 08:42:09.123983, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 08:42:09.374751, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 08:43:12.294992, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 08:43:12.530817, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 08:43:12.747058, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 08:43:12.970267, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 08:43:13.222057, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 08:43:13.460730, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 08:43:13.682994, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 08:43:13.903712, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 08:43:14.125050, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 08:43:14.405383, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 08:43:14.644355, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 08:43:14.878002, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 08:43:15.110625, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 08:43:15.416377, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-16 08:43:15.663834, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 08:43:15.928440, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 08:43:16.191438, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 08:43:16.429769, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 08:43:25.941014, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 08:43:26.154986, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-16 08:43:26.371876, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 08:43:26.587813, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 08:43:26.831024, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 08:43:27.044155, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 08:43:27.260713, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 08:43:27.473761, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 08:43:27.703727, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 08:43:27.920117, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 08:43:28.135390, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 08:43:28.351840, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 08:43:28.587251, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 08:43:28.805334, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 08:43:29.018411, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 08:43:29.231926, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 09:35:44.555211, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 09:35:44.799973, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 09:35:45.086123, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 09:35:45.307308, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 09:35:45.552594, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 09:35:45.774850, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 09:35:46.045872, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 09:35:46.285040, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 09:35:46.504852, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 09:35:46.722544, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 09:35:46.938992, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 09:35:47.156135, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 09:35:47.399240, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 09:35:47.613042, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
